Name,Subtitle,Acceleration,TopSpeed,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,7.3,150,173,210.0,Front Wheel Drive,5,42990.0,
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,22.4,130,194,,Front Wheel Drive,5,,31680.0
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,7.9,144,164,230.0,Front Wheel Drive,5,29990.0,25995.0
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7,200,231,600.0,All Wheel Drive,5,,79900.0
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8,260,215,860.0,All Wheel Drive,4,186336.0,138830.0
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,14.0,123,218,170.0,Front Wheel Drive,7,43433.0,30255.0
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9,160,164,260.0,Rear Wheel Drive,5,31960.0,27120.0
BMW iX3 ,Battery Electric Vehicle |       74 kWh,6.8,180,192,520.0,Rear Wheel Drive,5,66300.0,58850.0
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,7.3,157,172,390.0,Front Wheel Drive,5,38350.0,30445.0
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3,150,161,270.0,Rear Wheel Drive,4,39000.0,31305.0
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9,160,187,420.0,Front Wheel Drive,5,47541.0,43495.0
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,8.7,150,180,330.0,Front Wheel Drive,5,30040.0,31500.0
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9,160,165,260.0,Rear Wheel Drive,4,42600.0,32305.0
Sono Sion ,Battery Electric Vehicle |       47 kWh ,9.0,140,181,310.0,Front Wheel Drive,5,25500.0,
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3,250,210,810.0,All Wheel Drive,4,138200.0,110950.0
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,173,350.0,Front Wheel Drive,5,,37545.0
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4,135,165,230.0,Front Wheel Drive,5,31990.0,26795.0
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7,165,153,220.0,Front Wheel Drive,5,35350.0,30550.0
Lightyear One ,Battery Electric Vehicle |       60 kWh ,10.0,150,104,540.0,All Wheel Drive,5,149000.0,
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,2.1,410,206,920.0,All Wheel Drive,4,215000.0,189000.0
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,8.1,150,164,370.0,Front Wheel Drive,5,30450.0,27225.0
